ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
AIZ,2011-05-05,Q1_2011,10-Q,2,medium,negative,29.90654205607475
AIZ,2009-02-28,FY2008,10-K,-68,medium,negative,-12.994350282485875
AIZ,2007-03-02,FY2006,10-K,-54,medium,negative,71.55172413793105
AIZ,2011-08-04,Q2_2011,10-Q,38,medium,negative,68.0
AIZ,2012-05-03,Q1_2012,10-Q,87,medium,negative,61.60714285714285
AIZ,2010-02-26,FY2009,10-K,-65,medium,negative,-92.24137931034481
AIZ,2011-11-03,Q3_2011,10-Q,54,medium,negative,5.3333333333333375
AIZ,2012-10-30,Q3_2012,10-Q,0,medium,negative,12.592592592592586
AIZ,2012-08-02,Q2_2012,10-Q,86,medium,negative,61.66666666666667
AIZ,2011-02-24,FY2010,10-K,-114,medium,negative,15.044247787610635
AIZ,2013-05-02,Q1_2013,10-Q,43,medium,negative,-20.218579234972683
AIZ,2014-04-30,Q1_2014,10-Q,77,medium,negative,32.857142857142875
AIZ,2013-08-01,Q2_2013,10-Q,39,medium,negative,24.0875912408759
AIZ,2013-10-31,Q3_2013,10-Q,67,medium,negative,30.232558139534877
AIZ,2012-02-24,FY2011,10-K,-15,medium,negative,56.07476635514017
AIZ,2014-11-05,Q3_2014,10-Q,78,medium,negative,41.17647058823528
AIZ,2014-07-30,Q2_2014,10-Q,163,medium,negative,31.756756756756754
